lead_id_hash,sales_owner_id_hash,assigned_at,first_followup_at,followup_count,followup_status
lead_001,owner_001,2026-08-01 10:20:00,2026-08-01 11:05:00,3,跟进中
lead_002,owner_002,2026-08-01 20:15:00,2026-08-02 09:30:00,4,跟进中
lead_003,owner_001,2026-08-02 12:45:00,2026-08-03 15:20:00,2,待继续
lead_004,owner_003,2026-08-02 21:15:00,2026-08-02 21:40:00,5,已转化
lead_005,owner_002,2026-08-03 11:25:00,2026-08-03 14:10:00,3,跟进中
lead_006,owner_003,2026-08-03 19:30:00,2026-08-03 20:05:00,6,已转化
lead_007,owner_001,2026-08-04 10:55:00,2026-08-05 12:10:00,1,待继续
lead_008,owner_002,2026-08-04 22:15:00,2026-08-04 22:45:00,4,已转化
lead_009,owner_003,2026-08-05 12:20:00,2026-08-05 13:00:00,1,已关闭
lead_010,owner_001,2026-08-05 20:25:00,2026-08-06 08:30:00,3,跟进中
lead_012,owner_003,2026-08-06 21:20:00,2026-08-06 21:50:00,5,已转化
