lead_id_hash,click_id_hash,sales_owner_id_hash,channel,lead_source,created_at,lead_stage
lead_001,clk_001,owner_001,短视频自然流量,内容点击,2026-08-01 10:12:00,已分配
lead_002,clk_002,owner_002,短视频自然流量,内容点击,2026-08-01 20:05:00,跟进中
lead_003,clk_003,owner_001,信息流广告,落地页,2026-08-02 12:35:00,已分配
lead_004,clk_004,owner_003,直播承接,直播留资,2026-08-02 21:10:00,已转化
lead_005,clk_005,owner_002,短视频自然流量,内容点击,2026-08-03 11:18:00,跟进中
lead_006,clk_006,owner_003,直播承接,直播留资,2026-08-03 19:22:00,已转化
lead_007,clk_007,owner_001,社群转介绍,社群,2026-08-04 10:45:00,已分配
lead_008,clk_008,owner_002,直播承接,直播留资,2026-08-04 22:05:00,已转化
lead_009,clk_009,owner_003,信息流广告,落地页,2026-08-05 12:10:00,无效
lead_010,clk_010,owner_001,短视频自然流量,内容点击,2026-08-05 20:16:00,跟进中
lead_011,clk_011,owner_002,社群转介绍,社群,2026-08-06 15:40:00,已分配
lead_012,clk_012,owner_003,直播承接,直播留资,2026-08-06 21:12:00,已转化
