用户ID,直播场次,直播标题,是否到课,是否完课,是否访问课程商品,是否领取优惠券,是否发起支付,是否购买课程,是否观看回放,直播观看时长,邀请人,线索渠道,是否新用户,预约时间
SYN001,1,基础转化专场,是,是,是,是,是,是,否,01:08:00,林顾问,小红书,新用户,2026-08-18 09:05:00
SYN002,1,基础转化专场,是,是,是,是,否,否,否,00:56:00,陈顾问,视频号,新用户,2026-08-18 09:18:00
SYN003,1,基础转化专场,是,是,是,否,否,否,否,00:49:00,林顾问,社群,老用户,2026-08-18 09:32:00
SYN004,1,基础转化专场,是,是,是,是,是,是,否,01:02:00,陈顾问,小红书,新用户,2026-08-18 09:47:00
SYN005,1,基础转化专场,是,是,否,否,否,否,否,00:44:00,林顾问,视频号,老用户,2026-08-18 10:03:00
SYN006,1,基础转化专场,是,否,是,是,否,否,是,00:35:00,陈顾问,社群,新用户,2026-08-18 10:19:00
SYN007,1,基础转化专场,是,否,否,否,否,否,是,00:28:00,林顾问,小红书,新用户,2026-08-18 10:36:00
SYN008,1,基础转化专场,否,否,否,否,否,否,是,00:00:00,陈顾问,视频号,老用户,2026-08-18 10:52:00
SYN009,1,基础转化专场,否,否,是,否,否,否,是,00:00:00,林顾问,社群,新用户,2026-08-18 11:08:00
SYN010,1,基础转化专场,否,否,否,否,否,否,否,00:00:00,陈顾问,小红书,新用户,2026-08-18 11:21:00
SYN011,1,基础转化专场,否,否,否,否,否,否,是,00:00:00,林顾问,视频号,老用户,2026-08-18 11:39:00
SYN012,1,基础转化专场,否,否,否,否,否,否,否,00:00:00,陈顾问,社群,新用户,2026-08-18 11:55:00
SYN013,2,进阶增长专场,是,是,是,是,是,是,否,01:12:00,林顾问,小红书,新用户,2026-08-24 09:04:00
SYN014,2,进阶增长专场,是,是,是,是,是,是,否,01:05:00,陈顾问,视频号,新用户,2026-08-24 09:17:00
SYN015,2,进阶增长专场,是,是,是,是,是,是,否,00:58:00,林顾问,社群,老用户,2026-08-24 09:29:00
SYN016,2,进阶增长专场,是,是,是,否,否,否,否,00:53:00,陈顾问,小红书,新用户,2026-08-24 09:45:00
SYN017,2,进阶增长专场,是,是,是,是,是,是,否,01:09:00,林顾问,视频号,新用户,2026-08-24 10:02:00
SYN018,2,进阶增长专场,是,是,是,是,否,否,否,00:47:00,陈顾问,社群,老用户,2026-08-24 10:18:00
SYN019,2,进阶增长专场,是,是,否,否,否,否,是,00:42:00,林顾问,小红书,新用户,2026-08-24 10:34:00
SYN020,2,进阶增长专场,是,否,是,是,否,否,是,00:31:00,陈顾问,视频号,新用户,2026-08-24 10:49:00
SYN021,2,进阶增长专场,是,否,否,否,否,否,是,00:24:00,林顾问,社群,老用户,2026-08-24 11:03:00
SYN022,2,进阶增长专场,否,否,是,否,否,否,是,00:00:00,陈顾问,小红书,新用户,2026-08-24 11:19:00
SYN023,2,进阶增长专场,否,否,否,否,否,否,是,00:00:00,林顾问,视频号,新用户,2026-08-24 11:34:00
SYN024,2,进阶增长专场,否,否,否,否,否,否,否,00:00:00,陈顾问,社群,老用户,2026-08-24 11:51:00
