content_id_hash,account_id_hash,click_id_hash,published_at,impressions,plays,completions,interactions,clicks
cnt_001,acct_001,clk_001,2026-08-01 09:00:00,12000,7800,2860,640,410
cnt_002,acct_001,clk_002,2026-08-01 19:00:00,18500,13200,5940,1080,790
cnt_003,acct_002,clk_003,2026-08-02 12:00:00,9800,5400,1510,420,205
cnt_004,acct_002,clk_004,2026-08-02 20:00:00,22600,16900,8280,1450,1160
cnt_005,acct_001,clk_005,2026-08-03 10:00:00,14100,8900,3380,720,465
cnt_006,acct_002,clk_006,2026-08-03 18:00:00,19700,14600,6570,1210,920
cnt_007,acct_001,clk_007,2026-08-04 09:00:00,10300,6200,2040,470,270
cnt_008,acct_002,clk_008,2026-08-04 21:00:00,24300,18100,9050,1620,1340
cnt_009,acct_001,clk_009,2026-08-05 11:00:00,15200,10100,3940,810,530
cnt_010,acct_002,clk_010,2026-08-05 19:00:00,21000,15700,7220,1360,1010
cnt_011,acct_001,clk_011,2026-08-06 14:00:00,11200,6900,2350,510,310
cnt_012,acct_002,clk_012,2026-08-06 20:00:00,23800,17600,8420,1540,1280
